state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc.(South Texas HQ)",Cameron,Cameron County WDA,13.0,10/05/2025,08/06/2025,Brownsville
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. (Casa Franklin)",El Paso,Borderplexjobs WDA,1.0,10/05/2025,08/06/2025,El Paso
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. (Casa Norma Linda)",Cameron,Cameron County WDA,3.0,10/05/2025,08/06/2025,Los Fresnos
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. (Casa Rio Grande)",Cameron,Cameron County WDA,3.0,10/05/2025,08/06/2025,San Benito
Texas,,,,,,,,08/06/2025,"Southwest Key Programs, Inc. (Casa Canutillo)",El Paso,Borderplexjobs WDA,3.0,10/05/2025,08/06/2025,Canutillo
Texas,,,,,,,,08/01/2025,"Equus Workforce Solutions Houston Opertions- Acres Home (Arbor E&T, LLC)",Harris,Gulf Coast WDA,12.0,09/30/2025,08/01/2025,Houston
Texas,,,,,,,,08/01/2025,"Equus Workforce Solutions Houston Opertions- Pearland (Arbor E&T, LLC)",Brazoria,Gulf Coast WDA,13.0,09/30/2025,08/01/2025,Pearland
Texas,,,,,,,,08/01/2025,"Equus Workforce Solutions Houston Opertions- Westheimer Rd. (Arbor E&T, LLC)",Harris,Gulf Coast WDA,28.0,09/30/2025,08/01/2025,Houston
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Camp Wisdom (Arbor E&T, LLC)",Dallas,Dallas County WDA,1.0,09/30/2025,07/31/2025,Dallas
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-N.Tenth St. (Arbor E&T, LLC)",Dallas,Dallas County WDA,10.0,09/30/2025,07/31/2025,Garland
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Highway 161. (Arbor E&T, LLC)",Dallas,Dallas County WDA,71.0,09/30/2025,07/31/2025,Grand Prairie
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Greenville Ave. (Arbor E&T, LLC)",Dallas,Dallas County WDA,10.0,09/30/2025,07/31/2025,Dallas
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Irving Blvd. (Arbor E&T, LLC)",Dallas,Dallas County WDA,13.0,09/30/2025,07/31/2025,Irving
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Alpha Rd.(Arbor E&T, LLC)",Dallas,Dallas County WDA,17.0,09/30/2025,07/31/2025,Dallas
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Malcolm X Blvd.(Arbor E&T, LLC)",Dallas,Dallas County WDA,16.0,09/30/2025,07/31/2025,Dallas
Texas,,,,,,,,07/31/2025,"Equus Workforce Solutions-Buckner Blvd.(Arbor E&T, LLC)",Dallas,Dallas County WDA,16.0,09/30/2025,07/31/2025,Dallas
Texas,,,,,,,,07/31/2025,"Turner Industries (Paris, Texas September 2025)",Lamar,North East Texas WDA,211.0,09/30/2025,07/31/2025,Paris
Texas,,,,,,,,07/31/2025,Planned Parenthood Gulf Coast (Prevention Park Facility),Harris,Gulf Coast WDA,114.0,09/30/2025,07/31/2025,Houston
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Houston Reliant)",Harris,Gulf Coast WDA,211.0,10/05/2025,07/31/2025,Houston
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Houston HQ)",Harris,Gulf Coast WDA,11.0,10/05/2025,07/31/2025,Houston
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Quetzal)",Harris,Gulf Coast WDA,309.0,10/05/2025,07/31/2025,Houston
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Sunzal)",Harris,Gulf Coast WDA,223.0,10/05/2025,07/31/2025,Houston
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Oasis)",Hidalgo,Lower Rio Grande Valley WDA,128.0,10/05/2025,07/31/2025,McAllen
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Sueno)",Hidalgo,Lower Rio Grande Valley WDA,93.0,10/05/2025,07/31/2025,Weslaco
Texas,,,,,,,,07/31/2025,"Southwest Key Programs, Inc. (Casa Montezuma)",Harris,Gulf Coast WDA,238.0,10/05/2025,07/31/2025,Channelview
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Greenville (Arbor E&T, LLC)",Hunt,North Central Texas WDA,9.0,09/30/2025,07/30/2025,Greenville
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions McKinney (Arbor E&T, LLC)",Collin,North Central Texas WDA,15.0,09/30/2025,07/30/2025,McKinney
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Stephenville (Arbor E&T, LLC)",Erath,North Central Texas WDA,2.0,09/30/2025,07/30/2025,Stephenville
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Terrell  (Arbor E&T, LLC)",Kaufman,North Central Texas WDA,8.0,09/30/2025,07/30/2025,Terrell
Texas,,,,,,,,07/30/2025,"Equus Workforce Solutions Weatherford (Arbor E&T, LLC)",Parker,North Central Texas WDA,16.0,09/30/2025,07/30/2025,Weatherford
Texas,,,,,,,,09/24/2025,Cottonwood Creek Healthcare Community,Dallas,Dallas County WDA,70.0,12/01/2025,09/24/2025,Richardson
Texas,,,,,,,,09/18/2025,Sunny Glen Children's Home,Willacy,Lower Rio Grande Valley WDA,424.0,11/17/2025,09/18/2025,Raymondville
Texas,,,,,,,,09/17/2025,Accelore Group-Amazon Logistics (DDA9- Fort Worth),Tarrant,Tarrant County WDA,107.0,11/01/2025,09/17/2025,Fort Worth
Texas,,,,,,,,09/17/2025,Accelore Group-Amazon Logistics (DDF2-Balch Springs),Dallas,Dallas County WDA,107.0,11/01/2025,09/17/2025,Mesquite
