state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Unnamed: 0,Worker Adjustment and Retraining Notification (WARN) List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Oregon,,,,,,,,8773,"Bionano Genomics, Inc.","San Diego, CA",2024-05-24 00:00:00,76,Reduction,2024-03-21 00:00:00
Oregon,,,,,,,,8760,Adventist Health of Tillamook,Tillamook,2024-05-05 00:00:00,22,Reduction,2024-03-07 00:00:00
Oregon,,,,,,,,8759,Wieden + Kennedy,Portland,2024-03-01 00:00:00,87,Reduction,2024-02-23 00:00:00
Oregon,,,,,,,,8742,Philomath Division - Industrial Way Mil,Philomath,2024-02-15 00:00:00,58,Large Layoff - 10 or more workers,2024-02-15 00:00:00
Oregon,,,,,,,,8742,Interfor U.S. Inc,Philomath,2024-02-15 00:00:00,42,Large Layoff - 10 or more workers,2024-02-15 00:00:00
Oregon,,,,,,,,8747,Portland Day Sort,Portland,2024-04-19 00:00:00,350,Large Layoff - 10 or more workers,2024-02-13 00:00:00
Oregon,,,,,,,,8725,Remote Workers - Oregon,,2024-03-30 00:00:00,46,Large Layoff - 10 or more workers,2024-01-30 00:00:00
Oregon,,,,,,,,8723,RNDC - Bend Location,Bend,2024-03-31 00:00:00,4,Permanent closure,2024-01-30 00:00:00
Oregon,,,,,,,,8723,RNDC - Medford Location #1,Medford,2024-03-31 00:00:00,1,Permanent closure,2024-01-30 00:00:00
Oregon,,,,,,,,8723,RNDC - Eugene Location,Eugene,2024-03-31 00:00:00,3,Permanent closure,2024-01-30 00:00:00
Oregon,,,,,,,,8723,RNDC - Portland Location,Portland,2024-03-31 00:00:00,67,Permanent closure,2024-01-30 00:00:00
Oregon,,,,,,,,8723,RNDC - Medford Location #2,Medford,2024-03-31 00:00:00,3,Permanent closure,2024-01-30 00:00:00
Oregon,,,,,,,,8708,Oregon - Remote Employees,,2024-03-15 00:00:00,4,Reduction,2024-01-11 00:00:00
Oregon,,,,,,,,8708,"Lost Boys Interactive, LLC","Madison, WI",2024-03-15 00:00:00,121,Large Layoff - 10 or more workers,2024-01-11 00:00:00
Oregon,,,,,,,,8671,Portland - Site,Portland,2024-01-31 00:00:00,62,Permanent closure,2023-12-01 00:00:00
Oregon,,,,,,,,8652,Yelloh - Salem,Salem,2023-12-15 00:00:00,7,Permanent closure,2023-10-25 00:00:00
Oregon,,,,,,,,8652,Yelloh - Tualitin,Tualitin,2023-12-15 00:00:00,11,Permanent closure,2023-10-25 00:00:00
Oregon,,,,,,,,8652,Yelloh -  Central Point,Central Point,2023-12-15 00:00:00,6,Permanent closure,2023-10-25 00:00:00
Oregon,,,,,,,,8652,Yelloh - Eugene,Eugen,2023-12-15 00:00:00,8,Permanent closure,2023-10-25 00:00:00
Oregon,,,,,,,,8648,Peace Health,Eugene,2023-12-20 00:00:00,463,Permanent closure,2023-10-19 00:00:00
Oregon,,,,,,,,8647,Wilsonville Distribution Center,Wilsonville,2024-01-03 00:00:00,136,Permanent closure,2023-10-18 00:00:00
Oregon,,,,,,,,8637,Grace ,Albany,2024-06-30 00:00:00,23,Permanent closure,2023-10-01 00:00:00
Oregon,,,,,,,,8637,Grace ,Albany,2024-03-31 00:00:00,11,Permanent closure,2023-10-01 00:00:00
Oregon,,,,,,,,8637,Grace ,Albany,2023-12-31 00:00:00,61,Permanent closure,2023-10-01 00:00:00
Oregon,,,,,,,,8634,T3281 Store,Portland,2023-12-30 00:00:00,40,Permanent closure,2023-09-26 00:00:00
Oregon,,,,,,,,8633,T3358 Store,Portland,2023-12-30 00:00:00,56,Permanent closure,2023-09-26 00:00:00
Oregon,,,,,,,,8632,T3381 Store,Portland,2023-12-30 00:00:00,62,Permanent closure,2023-09-26 00:00:00
Oregon,,,,,,,,8622,"Divvy Homes, Inc","San Francisco, CA",2023-11-07 00:00:00,94,Reduction,2023-09-07 00:00:00
Oregon,,,,,,,,8627,"American Nursery Services, Inc. ",Newberg,2023-12-31 00:00:00,25,Permanent closure,2023-09-05 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2024-04-05 00:00:00,2,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2024-01-26 00:00:00,2,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Bennett St. - Hillsboro,Hillsboro,2024-01-12 00:00:00,3,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2024-01-12 00:00:00,62,Large Layoff - 10 or more workers,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Bennett St. - Hillsboro,Hillsboro,2023-12-29 00:00:00,2,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2023-12-29 00:00:00,3,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2023-12-01 00:00:00,1,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Walker Rd - Hillsboro,Hillsboro,2023-11-17 00:00:00,1,Reduction,2023-08-22 00:00:00
Oregon,,,,,,,,8617,Bennett St. - Hillsboro,Hillsboro,2023-10-20 00:00:00,71,Large Layoff - 10 or more workers,2023-08-22 00:00:00
